Stroke type,0,1,2,3,4,5,6
pre_stroke_nlvo,0.5828810000000001,0.745419,0.848859,0.951082,0.993055,1.0,1.0
pre_stroke_nlvo_ivt_deaths,0.576469309,0.737219391,0.839521551,0.940620098,0.982131395,0.989,1.0
pre_stroke_lvo,0.417894,0.560853,0.6792830000000001,0.8434940000000001,0.957269,1.0,1.0
pre_stroke_lvo_ivt_deaths,0.4036438146,0.5417279127,0.6561194497,0.8147308546,0.9246261271,0.9659,1.0
pre_stroke_lvo_mt_deaths,0.40284981599999997,0.5406622919999999,0.6548288119999999,0.8131282159999998,0.9228073159999999,0.9639999999999999,0.9999999999999999
no_treatment_nlvo,0.19714427412082952,0.4599999999999999,0.580032010820559,0.7077682596934174,0.8556771866546438,0.9177019837691613,1.0
no_effect_nlvo_ivt_deaths,0.19727076182924358,0.45999999999999996,0.5775832153064482,0.7022523740168735,0.8452435265669226,0.9044542089358352,1.0
t0_treatment_nlvo_ivt,0.4298077167171813,0.6299999999999999,0.7382123722614311,0.8484272607409102,0.9291876458786309,0.9563004539948902,0.9999999999999999
no_treatment_lvo,0.05,0.129,0.265,0.42900000000000005,0.676,0.811,1.0
no_effect_lvo_ivt_deaths,0.047897657213316895,0.12357595561035759,0.2538575832305795,0.4109618988902589,0.6475763255240443,0.7768999999999999,0.9999999999999999
no_effect_lvo_mt_deaths,0.04778051787916153,0.12327373612823675,0.25323674475955615,0.40995684340320593,0.6459926017262638,0.7749999999999999,0.9999999999999999
t0_treatment_lvo_ivt,0.1129160307079462,0.19999999999999996,0.32737745613345554,0.48475721676726125,0.6982116650813417,0.8114428118767502,1.0
t0_treatment_lvo_mt,0.31408249146979034,0.43631515303205914,0.554430795189889,0.7123353728508015,0.853603637431566,0.91675,1.0
